threshold,precision,recall,f1,false_positives,false_negatives,true_positives,true_negatives
0.2,0.7276995305164319,0.9748427672955975,0.8333333333333334,58,4,155,8
0.3,0.7684210526315789,0.9182389937106918,0.836676217765043,44,13,146,22
0.4,0.8260869565217391,0.8364779874213837,0.83125,28,26,133,38
0.5,0.8106060606060606,0.6729559748427673,0.7353951890034365,25,52,107,41
0.6,0.8383838383838383,0.5220125786163522,0.6434108527131783,16,76,83,50
0.7,0.8656716417910447,0.36477987421383645,0.5132743362831859,9,101,58,57
0.8,0.8333333333333334,0.22012578616352202,0.3482587064676617,7,124,35,59
